Testlauf-ID,Ausführungszeit
output_14_RP.py,0.014458179473876953
output_4_0S.py,0.014627695083618164
output_3_0S.py,0.0157315731048584
output_11_RP.py,0.017847537994384766
output_12_RP.py,0.017180204391479492
output_10_CoT.py,0.014933347702026367
output_1_0S.py,0.01852726936340332
output_13_RP.py,0.015177011489868164
output_7_CoT.py,0.014787435531616211
output_15_RP.py,0.015752553939819336
output_8_CoT.py,0.014888286590576172
output_2_0S.py,0.014968156814575195
output_9_CoT.py,0.014755964279174805
output_6_CoT.py,0.014756202697753906
output_5_0S.py,0.019279003143310547
output_14_RP.py,0.019442081451416016
output_4_0S.py,0.01977062225341797
output_3_0S.py,0.019215822219848633
output_11_RP.py,0.01937079429626465
output_12_RP.py,0.018714189529418945
output_10_CoT.py,0.019295454025268555
output_1_0S.py,0.019155025482177734
